"TEAM1","TEAM2","HOMEGAMES","VISITGAMES","HOMEGAMES","VISITGAMES"
Arsenal,Manchester United,16,5,19,11
Arsenal,Liverpool,14,8,20,11
Arsenal,West Ham United,20,17,5,7
Arsenal,Aston Villa,20,17,6,7
Arsenal,Chelsea,17,7,15,6
Arsenal,Newcastle United,18,13,6,5
Arsenal,Tottenham Hotspur,20,10,13,4
Arsenal,Swansea City,3,5,3,4
Arsenal,Watford,5,5,5,4
Arsenal,Everton,26,16,11,3
Arsenal,Coventry City,13,11,6,3
Arsenal,Wimbledon,4,9,4,3
Arsenal,Blackburn Rovers,10,9,6,3
Arsenal,Leeds United,10,5,5,3
Arsenal,West Bromwich Albion,11,9,3,2
Arsenal,Norwich City,12,5,3,2
Arsenal,Queens Park Rangers,10,5,6,2
Arsenal,Sunderland,12,8,5,2
Arsenal,Nottingham Forest,7,9,7,2
Arsenal,Southampton,20,10,13,1
Arsenal,Derby County,7,7,2,1
Arsenal,Wigan Athletic,7,5,1,1
Arsenal,Crystal Palace,10,6,1,1
Arsenal,Charlton Athletic,9,9,1,1
Arsenal,Middlesbrough,10,11,5,1
Arsenal,Manchester City,19,13,9,1
Arsenal,Stoke City,13,3,7,1
